size,title
40,new
19,Trump
14,York
12,place
11,year
10,over
9,Go
9,Republican
9,day
9,more
9,today
8,Briefing
8,city
8,show
8,way
7,Assange
7,Donald
7,Mr.
7,after
7,country
7,here
7,president
7,some
7,start
7,time
7,water
6,China
6,Congress
6,Plan
6,Russia
6,Sale
6,Wednesday
6,end
6,no
6,offer
6,said
6,state
6,struggle
6,why
5,California
5,Cuomo
5,Gov
5,J.
5,Julian
5,Official
5,Shoots
5,Want
5,call
5,face
5,job
5,know
5,law
5,most
5,need
5,official
5,people
5,police
5,president-elect
5,question
5,record
5,still
5,take
5,two
5,white
4,Act
4,Airport
4,American
4,Andrew
4,Canada
4,Capitol
4,Convicted
4,Cup
4,Governor
4,Israeli
4,Kennedy
4,Kills
4,Love
4,Obama
4,Senate
4,Thursday
4,all
4,author
4,case
4,comes
4,cut
4,family
4,first
4,government
4,help
4,history
4,home
4,like
4,look
4,made
4,make
4,many
4,other
4,party
4,peanut
4,say
4,see
4,travel
4,used
4,were
3,Affordable
3,Become
3,Brooklyn
3,Care
3,Chelsea
3,Chinese
3,Democrats
3,Divide
3,Dylann
3,Feature
3,Fox
3,Holiday
3,House
3,Kelly
3,Leaves
3,Live
3,M.
3,Megyn
3,No.
3,One
3,Palestinian
3,Roof
3,Syrian
3,Tells
3,Terminal
3,Washington
3,Work
3,World
3,administration
3,adults
3,also
3,apps
3,back
3,best
3,big
3,both
3,capital
3,continued
3,crisis
3,decline
3,early
3,election
3,evidence
3,feed
3,food
3,gang
3,get
3,giant
3,hacked
3,health
3,hour
3,include
3,later
3,legal
3,long
3,meet
3,million
3,move
3,much
3,nation
3,nearly
3,p.m
3,pardon
3,perhaps
3,person
3,politics
3,season
3,security
3,seem
3,sell
3,since
3,spend
3,store
3,technology
3,than
3,through
3,top
3,trade
3,up
3,video
3,weeks
3,well
2,Art
2,Battles
2,Books
2,Britain
2,Broadway
2,Buy
2,Carlson
2,Change
2,Chase
2,Company
2,December
2,Do
2,Edition
2,Edward
2,Eric
2,Europe
2,Every
2,Fall
2,Fight
2,Flint
2,Foundation
2,Got
2,Hand
2,Head
2,Hill
2,Holder
2,Hollywood
2,Holocaust
2,Inmates
2,Inside
2,Intelligence
2,Israel
2,January
2,Lawyer
2,Legislature
2,Manslaughter
2,Media
2,Mexicans
2,Mexico
2,Michael
2,Minutes
2,Month
2,Negotiator
2,Next
2,Number
2,Oakland
2,Once
2,Picks
2,Prepare
2,Put
2,Remaking
2,Republicansâ€™
2,Review
2,Rockefeller
2,Sail
2,Save
2,Seen
2,Shah
2,Shot
2,Soldier
2,Street
2,Syria
2,Together
2,Tottenham
2,Track
2,Turmoil
2,Tweets
2,Twitter
2,U.S
2,Unite
2,Wall
2,West
2,WikiLeaks
2,Yorker
2,access
2,against
2,ago
2,among
2,announced
2,any
2,appears
2,assailed
2,awards
2,bad
2,bank
2,bar
2,beaten
2,believes
2,better
2,billion
2,bonus
2,bureau
2,car
2,central
2,century
2,challenge
2,chief
2,childhood
2,clash
2,conclusion
2,credit
2,crime
2,critic
2,currency
2,custom
2,defend
2,department
2,died
2,doubts
2,driving
2,drove
2,each
2,even
2,express
2,financial
2,find
2,five
2,focus
2,former
2,founder
2,free
2,fresh
2,global
2,group
2,guard
2,had
2,husband
2,idea
2,industry
2,into
2,issue
2,it.
2,jail
2,join
2,just
2,key
2,known
2,last
2,lawmakers
2,leader
2,left
2,little
2,loss
2,lowest
2,massacre
2,means
2,men
2,mistake
2,modernize
2,mystery
2,neighborhood
2,off
2,one
2,online
2,out
2,own
2,pink-collar
2,player
2,playgrounds
2,points
2,poor
2,presents
2,preserve
2,process
2,promised
2,proposal
2,public
2,raise
2,rare
2,rebuild
2,remain
2,repeal
2,represent
2,result
2,reviled
2,same
2,scores
2,secretary
2,serving
2,session
2,signature
2,skills
2,snow
2,soccer
2,sports
2,step
2,stock
2,study
2,subway
2,suggested
2,supply
2,talk
2,teams
2,tech
2,terrorism
2,tips
2,took
2,toward
2,transit
2,trip
2,try
2,unaccompanied
2,under
2,versus
2,very
2,view
2,violence
2,violent
2,winner
2,women
2,wounded
2,written
2,young